cost,depth,tqc3TT,tqc3Depth,tqc3Qubits,tqc2TT,tqc2Depth,tqc2Qubits,tqc1TT,tqc1Depth,tqc1Qubits,tqc0TT,tqc0Depth,tqc0Qubits
10,6,0.07459568977355957,11,"{'114': 10, '113,114': 1, '113': 1}",0.05272960662841797,2,"{'9,10': 1, '9': 1}",0.03989243507385254,4,"{'9': 3, '9,10': 1}",0.0664067268371582,43,"{'0': 16, '40': 5, '63,64': 2, '53,60': 2, '60,61': 2, '62,63': 2, '14,18': 2, '0,14': 2, '39,40': 2, '33,39': 2, '20,33': 2, '41,53': 2, '19,20': 2, '18,19': 2, '61,62': 2, '60,53': 1, '62,61': 1, '53,41': 1, '61,60': 1, '40,41': 1, '14,0': 1, '63,62': 1, '64,63': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '40,39': 1}"
10,7,0.05188274383544922,3,{13: 3},0.04188680648803711,3,{109: 3},0.026078224182128906,3,{0: 3},0.018958330154418945,21,{0: 21}
10,8,0.05113387107849121,0,{},0.03142428398132324,0,{},0.028960227966308594,0,{},0.02550220489501953,36,{0: 36}
10,9,0.04755544662475586,3,{109: 3},0.03154563903808594,3,{109: 3},0.03129291534423828,3,{0: 3},0.026452302932739258,19,{0: 19}
11,1,0.03185224533081055,0,{},0.03399395942687988,3,"{'10,9': 2, '9,10': 1}",0.02692699432373047,3,"{'114,113': 2, '113,114': 1}",0.037160396575927734,12,"{'0,1': 2, '1,2': 2, '2,3': 2, '22,23': 2, '15,22': 2, '4,15': 2, '3,4': 2, '1,0': 1, '2,1': 1, '3,2': 1, '23,22': 1, '22,15': 1, '15,4': 1, '4,3': 1}"
11,3,0.043732404708862305,3,"{'114,115': 1, '114,113': 1, '114': 1}",0.033530473709106445,3,"{'114,115': 1, '114,113': 1, '114': 1}",0.03191566467285156,3,"{'114,115': 1, '114,113': 1, '114': 1}",0.04787087440490723,42,"{'41,53': 4, '0,14': 2, '40,41': 2, '46,47': 2, '45,46': 2, '85,86': 2, '84,85': 2, '83,84': 2, '82,83': 2, '81,82': 2, '72,81': 2, '62,72': 2, '61,62': 2, '60,61': 2, '41,42': 2, '42,43': 2, '43,44': 2, '35,47': 2, '53,41': 2, '18,19': 2, '33,39': 2, '19,20': 2, '20,33': 2, '28,35': 2, '28,29': 2, '14,18': 2, '39,40': 2, '43,42': 1, '18,14': 1, '42,41': 1, '20,19': 1, '44,43': 1, '53,60': 1, '61,60': 1, '19,18': 1, '62,61': 1, '44,45': 1, '72,62': 1, '41,40': 1, '82,81': 1, '81,72': 1, '40,39': 1, '29,28': 1, '83,82': 1, '84,83': 1, '33,20': 1, '85,84': 1, '86,85': 1, '35,28': 1, '14,0': 1, '46,45': 1, '39,33': 1, '47,46': 1, '47,35': 1, '44': 1}"
11,4,0.0566258430480957,4,"{'9': 3, '9,10': 1}",0.04388284683227539,4,"{'113': 3, '113,114': 1}",0.033907175064086914,4,"{'113': 3, '113,114': 1}",0.17775464057922363,25,"{'33': 6, '0': 3, '42,43': 2, '40,41': 2, '18,19': 2, '19,20': 2, '39,40': 2, '20,33': 2, '0,14': 2, '14,18': 2, '41,42': 2, '33,39': 1, '40,39': 1, '41,40': 1, '14,0': 1, '42,41': 1, '43,42': 1, '20,19': 1, '19,18': 1, '18,14': 1, '33,20': 1}"
11,5,0.06269335746765137,6,"{'113': 5, '113,114': 1}",0.03997492790222168,6,"{'113': 5, '113,114': 1}",0.034906864166259766,7,"{'9': 6, '9,10': 1}",0.05218029022216797,24,"{'0': 5, '21': 3, '43,44': 2, '18,19': 2, '19,20': 2, '22,23': 2, '20,21': 2, '0,14': 2, '14,18': 2, '34,43': 2, '23,24': 2, '24,34': 2, '34,24': 1, '21,22': 1, '23,22': 1, '24,23': 1, '14,0': 1, '43,34': 1, '21,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '44,43': 1}"
11,6,0.054628610610961914,4,"{'9': 3, '9,10': 1}",0.047333478927612305,4,"{'113': 3, '113,114': 1}",0.04089069366455078,5,"{'113': 4, '113,114': 1}",0.06644868850708008,28,"{'20': 9, '0': 6, '37,52': 2, '38,39': 2, '18,19': 2, '19,20': 2, '33,39': 2, '0,14': 2, '14,18': 2, '37,38': 2, '20,33': 1, '39,33': 1, '39,38': 1, '14,0': 1, '38,37': 1, '20,19': 1, '19,18': 1, '18,14': 1, '52,37': 1}"
11,7,0.05421161651611328,2,"{'113,114': 1, '113': 1}",0.03194284439086914,2,"{'113,114': 1, '113': 1}",0.03461956977844238,4,"{'9': 3, '9,10': 1}",0.052399635314941406,40,"{'40': 12, '0': 6, '77,78': 2, '58,59': 2, '58,71': 2, '59,60': 2, '71,77': 2, '14,18': 2, '0,14': 2, '39,40': 2, '53,60': 2, '33,39': 2, '20,33': 2, '41,53': 2, '19,20': 2, '18,19': 2, '60,53': 1, '60,59': 1, '53,41': 1, '40,41': 1, '59,58': 1, '14,0': 1, '71,58': 1, '77,71': 1, '40,39': 1, '39,33': 1, '33,20': 1, '20,19': 1, '19,18': 1, '18,14': 1, '78,77': 1}"
